  ◆  swag        unittest • sources
  Test-FormatAlign_ConsecutiveAliases  ok (96 us)
  Test-FormatAlign_AliasesAcrossAttributesAndBlankLines  ok (102 us)
  Test-FormatAlign_AssignmentsBreakOnIndentation  ok (136 us)
  Test-FormatAlign_AssignmentsBreakOnBlankLine  ok (92 us)
  Test-FormatAlign_AssignmentsAcrossBlanks  ok (87 us)
  Test-FormatAlign_ConsecutiveDeclarations  ok (90 us)
  Test-FormatAlign_ControlDeclarationsBreakDeclarationGroups  ok (111 us)
  Test-FormatAlign_ConsecutiveConstants  ok (74 us)
  Test-FormatAlign_StructFields  ok (78 us)
  Test-FormatAlign_EnumValues  ok (75 us)
  Test-FormatAlign_NoneRemovesAlignment  ok (64 us)
  Test-FormatAlign_TrailingComments  ok (114 us)
  Test-FormatAlign_TrailingCommentsBreakOnIndentation  ok (87 us)
  Test-FormatAlign_TrailingCommentsNormalized  ok (66 us)
  Test-FormatAlign_FatArrowsConsecutive  ok (78 us)
  Test-FormatAlign_FatArrowsBreakOnPlainFunction  ok (81 us)
  Test-FormatAlign_SingletonTightensStalePadding  ok (81 us)
  Test-FormatAlign_StructFieldsWithTypeQualifiers  ok (103 us)
  Test-FormatAlign_StructFieldGridMixed  ok (88 us)
  Test-FormatAlign_StructFieldGridOffKeepsSingleColumn  ok (60 us)
  Test-FormatAlign_DeclarationGridInitializers  ok (77 us)
  Test-FormatAlign_ConstantGridTypes  ok (68 us)
  Test-FormatAlign_QualifiedConstantGridTypes  ok (72 us)
  Test-FormatAlign_QualifiedDeclarationPrefixes  ok (131 us)
  Test-FormatAlign_CaseBodiesConsecutive  ok (92 us)
  Test-FormatAlign_ArrayColumns  ok (69 us)
  Test-FormatAlign_ArrayColumnsSkipsRaggedRows  ok (59 us)
  Test-FormatAlign_HangingLineFollowsAlignedAnchor  ok (106 us)
  Test-FormatAlign_AfterOpenBracketUsesLiteralBrace  ok (85 us)
  Test-FormatAlign_AfterOpenBracketKeepsDataTableRows  ok (68 us)
  Test-FormatAlign_OperandsInsideBracketAnchorOnBracket  ok (181 us)
  Test-FormatAlign_OperandsOutsideBracketAnchorOnStatement  ok (87 us)
  Test-FormatAlign_OutlierGapLeavesLongLineAlone  ok (83 us)
  Test-FormatAlign_OutlierGapKeepsGradedTable  ok (141 us)
  Test-FormatAlign_OutlierGapDropsBothEnds  ok (79 us)
  Test-FormatAlign_AcrossBlanksReadsTheCappedBlankCount  ok (62 us)
  Test-FormatAlign_AccessModifierLineDoesNotBreakTheGroup  ok (78 us)
  Test-FormatAlign_WrappedArgumentsFollowTheAlignedHead  ok (144 us)
  Test-FormatAttributes_OwnLine  ok (76 us)
  Test-FormatAttributes_Inline  ok (60 us)
  Test-FormatAttributes_BreakAfterAttribute  ok (59 us)
  Test-FormatAttributes_Grouped  ok (68 us)
  Test-FormatAttributes_SortArguments  ok (89 us)
  Test-FormatAttributes_SortArgumentsWithDifferentPieceCounts  ok (63 us)
  Test-FormatAttributes_SpaceAfterAttributeComma  ok (55 us)
  Test-FormatBlanks_MaxConsecutiveEmptyLinesUnlimited  ok (64 us)
  Test-FormatBlanks_MaxConsecutiveEmptyLinesCollapses  ok (57 us)
  Test-FormatBlanks_MaxConsecutiveEmptyLinesOne  ok (61 us)
  Test-FormatBlanks_AfterOpeningBraceNever  ok (53 us)
  Test-FormatBlanks_AfterOpeningBracePreserve  ok (51 us)
  Test-FormatBlanks_AfterOpeningBraceAlways  ok (51 us)
  Test-FormatBlanks_BeforeClosingBraceNever  ok (51 us)
  Test-FormatBlanks_BeforeClosingBracePreserve  ok (53 us)
  Test-FormatBlanks_BeforeClosingBraceAlways  ok (58 us)
  Test-FormatBlanks_AroundAccessBlocksAlways  ok (79 us)
  Test-FormatBlanks_AroundAccessBlocksNever  ok (64 us)
  Test-FormatBlanks_AroundAccessBlocksPreserve  ok (72 us)
  Test-FormatBlanks_TrimTrailingNewlinesCollapsesToOne  ok (54 us)
  Test-FormatBlanks_TrimTrailingNewlinesDisabled  ok (51 us)
  Test-FormatBlanks_CombinedBlockEdges  ok (57 us)
  Test-FormatBlanks_BeforeFunctionAlways  ok (93 us)
  Test-FormatBlanks_BeforeFunctionKeepsDocCommentAttached  ok (77 us)
  Test-FormatBlanks_BeforeFunctionKeepsShortFormsStacked  ok (89 us)
  Test-FormatBlanks_BeforeTypeAlways  ok (63 us)
  Test-FormatBlanks_BeforeCommentBlockAlways  ok (62 us)
  Test-FormatBlanks_BeforeCommentBlockKeepsBlockStartAndRuns  ok (57 us)
  Test-FormatBlanks_BeforeCommentBlockKeepsInlineBodyStart  ok (67 us)
  Test-FormatBlanks_AfterGlobalBlockInsertsBlank  ok (55 us)
  Test-FormatBlanks_AfterGlobalThenUsingBlocks  ok (58 us)
  Test-FormatBlanks_BetweenCasesMultiLine  ok (117 us)
  Test-FormatBlanks_BetweenCasesNeverRemovesBlanks  ok (82 us)
  Test-FormatBlanks_AfterStandaloneClosingBraceAlways  ok (70 us)
  Test-FormatBlanks_AfterStandaloneClosingBraceNever  ok (69 us)
  Test-FormatBlanks_AfterStandaloneClosingBracePreserve  ok (66 us)
  Test-FormatBlanks_AfterStandaloneClosingBraceKeepsElseAttached  ok (72 us)
  Test-FormatBraces_AllmanMovesBraceToOwnLine  ok (61 us)
  Test-FormatStatements_OneStatementPerLine  ok (76 us)
  Test-FormatStatements_UsingFieldPrefixStaysTogether  ok (64 us)
  Test-FormatStatements_OneEnumValuePerLine  ok (58 us)
  Test-FormatBraces_ShortInlineDoBodiesSplit  ok (110 us)
  Test-FormatBraces_DestructuringPatternsStayInlineAndIndentAsStatements  ok (143 us)
  Test-FormatBraces_AttachJoinsBrace  ok (57 us)
  Test-FormatBraces_AllmanOnControlBlocks  ok (66 us)
  Test-FormatBraces_BreakBeforeElse  ok (75 us)
  Test-FormatBraces_JoinElseToBrace  ok (63 us)
  Test-FormatBraces_CompactEmptyBraces  ok (50 us)
  Test-FormatBraces_ShortFunctionsNeverSplits  ok (64 us)
  Test-FormatBraces_ShortFunctionsNeverKeepsEmpty  ok (47 us)
  Test-FormatBraces_SourceSelectsDefinitionLayout  ok (164 us)
  Test-FormatBraces_ShortBlocksInlineJoins  ok (77 us)
  Test-FormatBraces_ShortIfNeverSplits  ok (73 us)
  Test-FormatBraces_ShortLoopsJoin  ok (75 us)
  Test-FormatBraces_ShortEnumsSplit  ok (57 us)
  Test-FormatBraces_ShortCaseSplits  ok (90 us)
  Test-FormatBraces_ShortCaseJoins  ok (76 us)
  Test-FormatBraces_CaseUniformJoinsJumpTable  ok (94 us)
  Test-FormatBraces_CaseUniformExpandsMixedSwitch  ok (93 us)
  Test-FormatBraces_StaticIfChainAlignsAndBreaks  ok (92 us)
  Test-FormatBraces_StaticControl  ok (148 us)
  Test-FormatBraces_StaticIfSingleLineChainStaysInline  ok (75 us)
  Test-FormatBraces_MultiLineBlockContentLeavesBraceLines  ok (104 us)
  Test-FormatBraces_AllmanOnStaticIfBlocks  ok (64 us)
  Test-FormatBraces_ShortStructsKeepTupleTypes  ok (84 us)
  Test-FormatBraces_ShortStructsStillSplitDeclarations  ok (57 us)
  Test-FormatBraces_ShortFunctionsKeepClosureArguments  ok (116 us)
  Test-FormatBraces_ShortBlocksKeepInitializerLiterals  ok (113 us)
  Test-FormatBraces_ShortFunctionsInlineKeepsClosureBodies  ok (91 us)
  Test-FormatStatements_RemoveRedundantSemicolons  ok (83 us)
  Test-FormatStatements_RemoveConditionParentheses  ok (75 us)
  Test-FormatBraces_BreakBeforeWhere  ok (70 us)
  Test-FormatBraces_ShortClosuresNeverSplits  ok (93 us)
  Test-FormatBraces_UniformKeepsArmsWhoseCallIsWrapped  ok (113 us)
  Test-FormatBraces_UniformExpandsWhenAnArmCarriesABlock  ok (111 us)
  Test-FormatBraces_SemicolonPushedToEndOfLineByWrappingIsRemoved  ok (72 us)
  Test-FormatBraces_AnonymousStructTypeKeepsItsShape  ok (83 us)
